NodeId:0	0.739852637126,0.739854626519,1,15,66,96	49
NodeId:1	1.2269627823,1.22696641716,37,72	49
NodeId:10	0.890457567171,0.890460087314,4,6,38,67,78,80	49
NodeId:11	0.648537777087,0.648539544259,6,28,40,49,51,67,89	49
NodeId:12	0.996500270971,0.996502911928,24,28,50,55,67,85,98	49
NodeId:13	0.906574141344,0.906576603007,25,32,33,35,76	49
NodeId:14	0.329967225031,0.329967751518,36,39,44,62,98	49
NodeId:15	1.21043281246,1.21043640948,47,70,79,95,97	49
NodeId:16	0.624046817505,0.624048461654,45,52,67,80	49
NodeId:17	0.552048950238,0.552050252834,18,39,41,53,63,72,79,99	49
NodeId:18	1.04037278046,1.040375618,52,61,62,87	49
NodeId:19	0.882399712976,0.882402193099,27,33,37,45,92	49
NodeId:2	1.01437210898,1.01437497441,31,63	49
NodeId:20	1.14913812678,1.14914147317,7,94	49
NodeId:21	9.12196600059,9.12171141875	49
NodeId:22	1.0452642514,1.04526727715,25,65,72,83,97	49
NodeId:23	0.569844467254,0.56984588274,92,99	49
NodeId:24	1.01833946712,1.01834218871,9,10,18,38,55,93,94	49
NodeId:25	0.813052156782,0.813054345667,63	49
NodeId:26	0.834126497624,0.834128794414,15,23,28,64	49
NodeId:27	1.33123041166,1.33123432993,32,68,70,92	49
NodeId:28	0.877167726012,0.877170130463,21,25,72	49
NodeId:29	0.863575276278,0.863577771458,18,23,31,36,86	49
NodeId:3	0.742654101489,0.742656187648,30,42,45,86	49
NodeId:30	0.868672742107,0.868675076484,80,84,95	49
NodeId:31	2.13575448344,2.13576122016,29,36,46,49,54,62,70,85	49
NodeId:32	0.976997854032,0.97700056956,2,3,6,27,47,69,71,91	49
NodeId:33	0.995214764289,0.995217674074,2,56,58,86	49
NodeId:34	0.967097827833,0.967100697301,0,7,77,78	49
NodeId:35	0.496875616262,0.496876628674,12,18,62,64,65,66,83,91	49
NodeId:36	0.769155746167,0.769157768947,12,20,30,34,61,75,77,99	49
NodeId:37	1.31397748133,1.31398144062,40,59,71,97	49
NodeId:38	1.16134594115,1.1613492414,30,41,98	49
NodeId:39	1.15191619342,1.15191957178,31,43,68,71,92	49
NodeId:4	0.741337043359,0.741339098901,24,42,46,86	49
NodeId:40	0.727698755058,0.7277007125,7,71,72,73	49
NodeId:41	0.946180452545,0.94618300584,44,45,49,66	49
NodeId:42	0.572389584815,0.572390978131,36,45,70,89,99	49
NodeId:43	0.918550525349,0.918553227213,4,21,24,56,67,68,80,86,90	49
NodeId:44	0.627785836148,0.627787378052,17,37,38	49
NodeId:45	1.44043191268,1.44043623623,18,53,58,83,86,90	49
NodeId:46	0.817361814919,0.817364113801,78	49
NodeId:47	0.511170537004,0.511171739346,5,14,52,70,73	49
NodeId:49	1.14220985698,1.14221331954,2,29,31,39,84	49
NodeId:5	0.480599301913,0.480600291291,2,9,24,50,61,81,98	49
NodeId:50	0.827583790122,0.827586072175,0,20,46,68	49
NodeId:51	0.924710653632,0.924713317373,38,45,61,71	49
NodeId:52	0.842175020745,0.84217726638,27,31,64,91	49
NodeId:53	0.601569046132,0.601570550814,2,13,65,78,95	49
NodeId:54	0.681401476615,0.681403162374,12,69,77	49
NodeId:55	0.681116005761,0.681117789801,10,19,22,25,51,58,62	49
NodeId:56	0.54130403432,0.541305360804,29,36,80,96,98	49
NodeId:57	0.816730109532,0.816732411259,86,94,96,98	49
NodeId:58	0.865494925761,0.865497305744,16,38,71,73,78	49
NodeId:59	0.502481759102,0.502482916306,10,24,69,92	49
NodeId:6	0.69157705885,0.691578825446,15,22,58,80	49
NodeId:60	0.547457608198,0.54745899613,14,49,53,56,65	49
NodeId:61	0.733163018517,0.733164816821,6,9,18,20,99	49
NodeId:62	1.01683073743,1.01683365024,11,22,33,91	49
NodeId:63	1.72360009214,1.72360530202,3,64,65,72	49
NodeId:64	1.00949318302,1.00949605889,3,27,28,31,33,39,78	49
NodeId:65	0.988281777586,0.988284555466,27,88	49
NodeId:66	1.01057805629,1.01058082595,8,19,72,81,83,98	49
NodeId:67	0.695266215101,0.695268004766,2,26,30,31,32,45	49
NodeId:68	0.891327911887,0.89133047896,1,6,19,28,40,81,85	49
NodeId:69	0.881508362704,0.881510711727,12,22,42,46,55,72,88	49
NodeId:7	0.998530425679,0.998533352482,12,21,38,57,93	49
NodeId:70	1.2040521983,1.20405585163,20,63,99	49
NodeId:71	1.50958684359,1.50959156611,15,16,45,84,97	49
NodeId:72	1.92745177226,1.92745784543,10,49,51,92,93,95	49
NodeId:73	0.538670139071,0.538671364522,41,50,51,84,92	49
NodeId:74	0.432266907869,0.432267827511,35,54,84	49
NodeId:75	0.434747731034,0.434748696609,29,34,37,51,54,65,85,91	49
NodeId:76	0.893516039124,0.893518709776,9	49
NodeId:77	0.630296140466,0.63029769754,0,5,32,37,40,41,44,69,79,83,85,86,87	49
NodeId:78	1.6315428901,1.63154782197,13,19,34,82	49
NodeId:79	0.983937992283,0.983940741659,0,26,43,74,90	49
NodeId:8	0.344755653886,0.344756249272,13,41,59,87	49
NodeId:80	1.18304763044,1.18305103712,31,79	49
NodeId:81	0.586888859293,0.586890232324,5,21,26,78,93,96	49
NodeId:82	0.676119569286,0.676121486775,2,23,24,32,52,53	49
NodeId:83	1.27037620322,1.27037994558,1,4,10,18,27,29,70	49
NodeId:84	1.06098145199,1.06098446706,9,21	49
NodeId:85	0.693565362939,0.693567219234,32,54,57,64,69,90,99	49
NodeId:86	1.32922243457,1.32922647723,11,60,71,95	49
NodeId:87	0.485552294327,0.485553288247,8,19,20,27,30,47,54,63	49
NodeId:88	1.26645953911,1.266463462,21,26,44,50,55,82	49
NodeId:89	0.578789165874,0.578790547091,16,32,35,38,40,57,58	49
NodeId:9	1.66706176467,1.66706691514,33,39,41,43,51,69,80	49
NodeId:90	0.916478711863,0.916481357865,1,26,52,93,96	49
NodeId:91	0.747831321109,0.747833227951,12,24,66,81,95	49
NodeId:92	1.61166032587,1.61166519388,22,34,39,57	49
NodeId:93	0.955407648975,0.955410438036,15,43,66,75	49
NodeId:94	1.05494215147,1.05494522254,4,17,20,90	49
NodeId:95	1.38681459152,1.38681886262,76,88	49
NodeId:96	0.811741270614,0.811743400847,12,13,24,31,60,74	49
NodeId:97	1.0693212491,1.06932456102,37,50,62,89	49
NodeId:98	1.12324916705,1.12325224264,5,13,15,28,49,66,92,94	49
NodeId:99	1.1798753722,1.17987866972,1,83	49
NodeId:48	0.15,0.15,18,39,61,79,89	49
